xi,C(xi),Значения по квадратуре,Погрешность вычислений,N - число разбиений
0.0,0.0,0.0,0.0,2
0.16666666666666666,0.16663493568543888,0.1666567508333583,2.1815147919407307e-05,2
0.3333333333333333,0.33231937390584115,0.3324111469197543,9.177301391316561e-05,4
0.5,0.49234442136805107,0.492471627901869,0.00012720653381792513,8
0.6666666666666666,0.6348990651890006,0.6350098786047523,0.00011081341575169823,16
0.8333333333333333,0.7394889945879611,0.7395588914029805,6.989681501934353e-05,32
1.0,0.7798945818488318,0.7799263832912757,3.180144244396832e-05,64
1.1666666666666665,0.7350328345609309,0.7350778830467921,4.50484858611766e-05,64
1.3333333333333333,0.6081160796893851,0.6082258689266635,0.00010978923727844592,32
1.5,0.4452599339184146,0.4452185802280353,4.135369037933101e-05,64
