xi,C(xi),Значения по квадратуре,Погрешность вычислений,N - число разбиений
0.0,0.0,0.0,0.0,2
0.16666666666666666,0.16663493568543888,0.16666666666666666,3.173098122777329e-05,2
0.3333333333333333,0.33231937390584115,0.3324806955787413,0.00016132167290017208,16
0.5,0.49234442136805107,0.49249329287016647,0.00014887150211539968,128
0.6666666666666666,0.6348990651890006,0.6350515417695569,0.00015247658055628222,512
0.8333333333333333,0.7394889945879611,0.7395984976483693,0.00010950306040813373,2048
1.0,0.7798945818488318,0.7800154848868411,0.00012090303800937896,4096
1.1666666666666665,0.7350328345609309,0.735143180169618,0.0001103456086870569,8192
1.3333333333333333,0.6081160796893851,0.6082730493062201,0.0001569696168349788,8192
1.5,0.4452599339184146,0.4454373390150278,0.00017740509661318127,8192
